イベント名,イベント名(英語),カテゴリ,開始日,終了日,イベント説明,イベント説明(英語),開催場所について,イベントスケジュールについて,イベント開始時刻,イベント終了時刻,利用料金,問合先,問合先電話番号,主催者,開催場所施設名,駐車場有無,緯度,経度,対象地区,画像URL,ホームページアドレス,情報変更日時,情報作成日時
中河地区　保育園でクリスマス,"",子育て,2015/12/24,2015/12/24,クリスマス会を開催します,"",中河保育所・みずほ保育所,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"","","","","","","","","",""
河和田地区　クリスマス会,"",子育て,2015/12/18,2015/12/18,クリスマス会を開催します,"",鯖江市河和田公民館,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0001,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
片上地区　子育て広場,"",子育て,2016/01/06,2016/01/06,子育て広場を開催します,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
神明地区　〜米粉粘土＆おやつの試食〜,"",子育て,2016/01/18,2016/01/18,米粉粘土＆おやつの試食を開催します,"",夢みらい館・さばえ,10:00〜,10:00,"","",夢みらい館・さばえ,0778-51-1722,"",夢みらい館・さばえ,"",35.970744,136.179357,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yumemiraikan_sabae/yumemiraikan.html,"",""
北中山地区　〜人形劇とミニ運動会〜,"",子育て,2016/01/19,2016/01/19,人形劇とミニ運動会をやります,"",鯖江市北中山公民館,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
立待地区　東京おもちゃ美術館から木製おもちゃがやってくる,"",子育て,2016/01/20,2016/01/20,来て、見て、さわって、あそんでみて。木製おもちゃを実感して下さい。,"",鯖江市立待公民館,12:00〜,12:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
片上地区　子育て広場,"",子育て,2016/01/20,2016/01/20,子育て広場を開催します,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
新横江地区　子育て広場,"",子育て,2016/01/22,2016/01/22,子育て広場を開催します,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
片上地区　子育て広場,"",子育て,2016/02/03,2016/02/03,子育て広場を開催します,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
立待地区　木のおもちゃと絵本の紹介,"",子育て,2016/02/08,2016/02/08,木のおもちゃと絵本の紹介があります。遊びに来てください。,"",鯖江市立待公民館,10:30〜,10:30,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
中河地区　歯っぴー教室＆親子で遊ぼう,"",子育て,2016/02/12,2016/02/12,歯っぴー教室と親子で遊ぼうを開催します。,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
神明地区　絵本の読み聞かせ＆みんなでおしゃべりホットタイム,"",子育て,2016/02/15,2016/02/15,絵本の読み聞かせと、みんなでおしゃべりタイムがあります。,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
片上地区　子育て広場,"",子育て,2016/02/17,2016/02/17,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
鯖江地区　親子あそび,"",子育て,2016/02/17,2016/02/17,親子あそびを楽しみましょう！受付10:00〜,"",ふれあいみんなの館・さばえ,10:30〜,10:30,"","",鯖江市鯖江公民館,0778-51-3010,"",ふれあいみんなの館・さばえ,"",35.93766,136.179764,"","",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/fureaiminnanoyakata.html,"",""
吉川地区　♪楽しいコンサート,"",子育て,2016/02/19,2016/02/19,小さいおともだちあつまれ〜　楽しいコンサートがはじまるよ〜♪,"",鯖江市吉川公民館,10:15〜,10:15,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
子育て支援センタ−　栄養士相談会,"",子育て,2016/02/23,2016/02/23,講師：健康課管理栄養士 お子さんの離乳食・食事についてお話しましょう。,"",鯖江市子育て支援センタ−,14:00〜15:00,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
新横江地区　子育て広場,"",子育て,2016/02/26,2016/02/26,子育て広場を開催します,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
河和田地区　〜ベビータッチング講座〜,"",子育て,2016/02/26,2016/02/26,講師に子育てマイスターの真柄裕美子氏をお招きして開催します!,"",鯖江市河和田公民館,10:30〜,10:30,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
新横江地区　絵本を読もう,"",子育て,2016/03/03,2016/03/03,みんなで絵本を楽しみましょう,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
子育て支援センタ−　3月生まれの誕生会,"",子育て,2016/03/04,2016/03/04,3月生まれのお友達をみんなでお祝いしましょう,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
中河地区　〜ベビータッチング＆親子体操〜,"",子育て,2016/03/04,2016/03/04,講師に旭 智子氏・清水 厚子氏をお招きして開催します!,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
吉川地区　〜ベビーヨガ＆発育相談会,"",子育て,2016/03/04,2016/03/04,講師に松井久美氏をお招きして開催します！,"",鯖江市吉川公民館,10:30〜,10:30,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
立待地区　〜お楽しみ会〜,"",子育て,2016/03/07,2016/03/07,立待地区にお住いの方限定のイベントになります。何があるかは来てのお楽しみ・・・,"",鯖江市立待公民館,10:00〜,10:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
鯖江地区　〜ベビータッチング〜,"",子育て,2016/03/09,2016/03/09,講師に漆崎 由美氏をお招きして開催します！,"",アイアイ鯖江,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",アイアイさばえ,"",35.961634,136.187786,鯖江地区,http://www.city.sabae.fukui.jp/bin/000874-02-1.jpg,https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/aiai_kenkofukushi.html,"",""
片上地区　〜おおきくなったね〜,"",子育て,2016/03/09,2016/03/09,文殊っこあつまれ！みんなでお祝いしましょう♪,"",鯖江市片上公民館,10:00〜12：00,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
子育て支援センタ−　親子交通安全教室,"",子育て,2016/03/10,2016/03/10,市交通安全指導員さんと一緒に、交通ルールの確認をしていきましょう。,"",鯖江市子育て支援センタ−,10:30〜,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　楽しい人形劇,"",子育て,2016/03/11,2016/03/11,藤本宏美氏による公演です。お楽しみに・・・,"",鯖江市子育て支援センタ−,10:30〜,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
河和田地区　〜親子遊び＆終了式〜,"",子育て,2016/03/11,2016/03/11,子育て学級「つくしんぼ」のみんなで楽しく遊びましょう,"",鯖江市河和田公民館,10:30〜,10:30,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
豊地区　〜一年生おめでとう会〜,"",子育て,2016/03/13,2016/03/13,講師：真柄 裕美子氏　新一年生の親子さん！みんなで友達になろう！,"",鯖江市豊公民館,10:00〜,10:00,"","",鯖江市豊公民館,0778-62-1011,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
子育て支援センタ−　ベビータッチング,"",子育て,2016/03/15,2016/03/15,講師：漆崎由美氏　 定員15組（申込制）　,"",鯖江市子育て支援センタ−,14:00〜,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　「 しつけとは 」,"",子育て,2016/03/16,2016/03/16,講師：和田 恵美子氏　 定員10組（申込制） ＊託児あり　,"",鯖江市子育て支援センタ−,10:00〜11：30,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　子育て講座 「お母さんの気になることお答えします」,"",子育て,2016/03/18,2016/03/18,講師：富田 純子氏　 個人相談会ですので、どうぞご参加ください。,"",鯖江市子育て支援センタ−,10:00〜11：30,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
新横江地区　子育て広場,"",子育て,2016/03/25,2016/03/25,子育て広場を開催します,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
子育て支援センタ−　ファミリーデー（お父さんデー）,"",子育て,2016/03/26,2016/03/26,10：30〜「ふれあい遊び」　講師：酒井 勇美子氏　　定員10組（申込制）　 ,"",鯖江市子育て支援センタ−,10:00〜12：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明地区　〜英語で遊ぼう〜,"",子育て,2016/03/28,2016/03/28,英語でいっぱい遊びましょう♪,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
子育て支援センタ−　4月生まれの誕生会,"",子育て,2016/04/08,2016/04/08,4月生まれのお友達をみんなでお祝いしましょう 。,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　身体測定,"",子育て,2016/04/15,2016/04/15,＊希望される方は定例日以外でも測定できます。,"",鯖江市子育て支援センタ−,9:00〜,09:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　4月生まれの誕生会,"",子育て,2017/04/07,2017/04/07,4月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
片上地区　子育て広場,"",子育て,2017/04/19,2017/04/19,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
子育て支援センタ−　5月生まれの誕生会,"",子育て,2017/05/12,2017/05/12,5月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明地区　〜木のおもちゃで遊ぼう〜,"",子育て,2017/05/15,2017/05/15,木のおもちゃと絵本の紹介があります。遊びに来てください。,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
子育て支援センタ−　ベビータッチング,"",子育て,2017/05/16,2017/05/16,講師：漆崎由美氏　 定員15組（申込制）　＊初めての方優先,"",鯖江市子育て支援センタ−,14:00〜,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
鯖江地区　〜親子体操〜,"",子育て,2017/05/17,2017/05/17,講師：杉森明子氏　お子さんとのふれあいの時間をご一緒にいかがですか？,"",ふれあいみんなの館・さばえ,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",アイアイさばえ,"",35.961634,136.187786,鯖江地区,http://www.city.sabae.fukui.jp/bin/000874-02-1.jpg,https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/aiai_kenkofukushi.html,"",""
片上地区　〜子育て広場〜,"",子育て,2017/05/17,2017/05/17,子育て広場を開催します。子育てサポーターがお待ちしています。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
新横江地区　〜BABY運動会〜,"",子育て,2017/05/18,2017/05/18,ハイハイ競争やかけっこなど、楽しい運動会です。,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
中河地区　〜ベビータッチング＆オカリナ演奏〜,"",子育て,2017/05/18,2017/05/18,講師：漆崎由美氏　（申込制）　ふれあいの後はオカリナの音色をお楽しみください。,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
河和田地区　〜離乳食・幼児食相談会〜,"",子育て,2017/05/18,2017/05/18,講師：谷口利恵子氏　　愛情たっぷり手作り離乳食・幼児食のお味は？,"",鯖江市河和田公民館,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
子育て支援センタ−　身体測定,"",子育て,2017/05/19,2017/05/19,希望される方は定例日以外でも測定できます。,"",鯖江市子育て支援センタ−,9:00〜,09:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　ファミリーデー（お父さんデー）,"",子育て,2017/05/20,2017/05/20,家族でゆったりふれあいの時間をお楽しみください。,"",鯖江市子育て支援センタ−,10:00〜12：00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
立待地区　〜ベビータッチング〜,"",子育て,2017/05/22,2017/05/22,講師：漆崎由美氏　　＊先着20組（申込制）,"",鯖江市立待公民館,10:30〜,10:30,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
子育て支援センタ−　保健師相談会,"",子育て,2017/05/23,2017/05/23,講師：健康づくり課保健師　お子さんの健康・発達について一緒にお話しましょう。,"",鯖江市子育て支援センタ−,10:00〜,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
北中山地区　〜人形劇とママカフェ＆子育て相談会〜,"",子育て,2017/05/23,2017/05/23,保健師さんといろんなお話しましょう。その後人形劇を楽しみましょう。公演：更生保護女性の会,"",鯖江市北中山公民館,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
河和田地区　〜ほうば飯を作りましょう＆マイスター講座〜,"",子育て,2017/05/26,2017/05/26,昔なつかしい　おばあちゃんの味を体験しましょう。,"",鯖江市河和田公民館,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0403,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
片上地区　〜すまいる文殊っ子広場〜,"",子育て,2017/05/27,2017/05/27,家族で楽しい時間をお過ごしください。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
吉川地区　〜親子ピラティス〜,"",子育て,2017/05/27,2017/05/27,親子で、美しい身体をつくりましょう！,"",鯖江市吉川公民館,10:00〜,10:00,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
子育て支援センタ−　6月生まれの誕生会,"",子育て,2017/06/02,2017/06/02,6月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
立待地区　〜歯っぴー教室〜,"",子育て,2017/06/05,2017/06/05,講師：歯科衛生士　佐々木　雅代氏（子育てマイスター）　　＊先着20組（申込制）,"",鯖江市立待公民館,10:30〜,10:30,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
子育て支援センタ−　ことばの相談会,"",子育て,2017/06/06,2017/06/06,講師：言語聴覚士 梅澤邦江氏　＊お子さんの言葉の発達についての相談会です。,"",鯖江市子育て支援センタ−,10:00〜,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
